mode,season,route_id,route_name,dir_id,day_type_id,day_type_name,stop_name,parent_station,total_ons,total_offs,number_service_days,hour_of_service,average_ons,average_offs,average_flow,ObjectId
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Square,place-bcnwa,123,8,10,21:00:00,12,1,37,11161
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Square,place-bcnwa,112,5,10,22:00:00,11,1,26,11162
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Square,place-bcnwa,88,4,10,23:00:00,9,0,25,11163
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Street,place-wascm,9,3,10,00:00:00,1,0,8,11164
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Street,place-wascm,1,0,10,01:00:00,0,0,0,11165
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Street,place-wascm,0,0,10,02:00:00,0,0,0,11166
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Street,place-wascm,1,0,10,03:00:00,0,0,0,11167
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Street,place-wascm,13,0,10,04:00:00,1,0,2,11168
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Street,place-wascm,56,2,10,05:00:00,6,0,16,11169
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Street,place-wascm,130,9,10,06:00:00,13,1,36,11170
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Street,place-wascm,143,7,10,07:00:00,14,1,45,11171
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Street,place-wascm,205,17,10,08:00:00,21,2,77,11172
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Street,place-wascm,276,17,10,09:00:00,28,2,105,11173
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Street,place-wascm,229,24,10,10:00:00,23,2,108,11174
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Street,place-wascm,334,34,10,11:00:00,33,3,139,11175
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Street,place-wascm,331,28,10,12:00:00,33,3,131,11176
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Street,place-wascm,279,30,10,13:00:00,28,3,112,11177
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Street,place-wascm,217,17,10,14:00:00,22,2,83,11178
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Street,place-wascm,237,23,10,15:00:00,24,2,105,11179
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Street,place-wascm,150,24,10,16:00:00,15,2,84,11180
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Street,place-wascm,169,29,10,17:00:00,17,3,84,11181
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Street,place-wascm,175,31,10,18:00:00,17,3,84,11182
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Street,place-wascm,140,21,10,19:00:00,14,2,72,11183
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Street,place-wascm,87,17,10,20:00:00,9,2,44,11184
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Street,place-wascm,84,23,10,21:00:00,8,2,43,11185
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Street,place-wascm,50,11,10,22:00:00,5,1,30,11186
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Street,place-wascm,50,13,10,23:00:00,5,1,26,11187
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Woodland,place-woodl,3,0,10,00:00:00,0,0,6,11188
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Woodland,place-woodl,0,0,10,01:00:00,0,0,1,11189
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Woodland,place-woodl,0,0,10,02:00:00,0,0,0,11190
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Woodland,place-woodl,0,0,10,03:00:00,0,0,0,11191
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Woodland,place-woodl,1,0,10,04:00:00,0,0,0,11192
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Woodland,place-woodl,9,0,10,05:00:00,1,0,4,11193
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Woodland,place-woodl,41,0,10,06:00:00,4,0,15,11194
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Woodland,place-woodl,33,1,10,07:00:00,3,0,26,11195
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Woodland,place-woodl,34,2,10,08:00:00,3,0,40,11196
