stop_name,hr_pm,direction,avg_total_ons,avg_total_offs,avg_passenger_flow,delay_minutes
North Station,5,NB,14555.333333333334,15747.0,1870.3333333333333,-1.4152777777777779
North Station,5,SB,10492.666666666666,8768.333333333334,1082.6666666666667,1.0611111111111111
North Station,6,NB,11716.333333333334,11543.0,1414.6666666666667,4.833333333333333
North Station,6,SB,8616.666666666666,9405.0,967.3333333333334,4.404166666666667
North Station,7,NB,8023.0,7273.0,1064.0,4.121794871794872
North Station,7,SB,5021.666666666667,5297.333333333333,661.3333333333334,4.747222222222223
North Station,8,NB,6316.666666666667,4359.0,849.0,1.8916666666666666
North Station,8,SB,4026.3333333333335,2805.0,473.6666666666667,5.701515151515152
North Station,9,NB,9247.333333333334,3320.3333333333335,825.3333333333334,-0.825
North Station,9,SB,6088.333333333333,2016.0,479.0,2.7
North Station,10,NB,10782.666666666666,2177.0,868.3333333333334,-4.529999999999999
North Station,10,SB,7680.666666666667,1107.3333333333333,523.3333333333334,0.48148148148148145
North Station,11,NB,7236.0,1528.0,687.0,-5.468518518518518
North Station,11,SB,4098.0,626.6666666666666,334.0,0.865
Oak Grove,3,SB,3623.6666666666665,0.0,135.66666666666666,0.5
Oak Grove,4,SB,3917.6666666666665,0.0,138.0,0.5
Oak Grove,5,SB,4897.333333333333,0.0,155.66666666666666,0.7888888888888889
Oak Grove,6,SB,4168.0,0.0,130.33333333333334,4.406944444444444
Oak Grove,7,SB,1920.3333333333333,0.0,72.66666666666667,4.584722222222222
Oak Grove,8,SB,963.6666666666666,0.0,35.0,2.9666666666666663
Oak Grove,9,SB,1104.6666666666667,0.0,38.333333333333336,2.125
Oak Grove,10,SB,740.0,0.0,25.666666666666668,0.5
Oak Grove,11,SB,342.0,0.0,12.666666666666666,0.5
Roxbury Crossing,2,NB,9114.666666666666,1107.0,959.3333333333334,-3.566666666666667
Roxbury Crossing,2,SB,3727.3333333333335,3507.6666666666665,668.0,-0.9666666666666668
Roxbury Crossing,3,NB,5731.333333333333,1318.6666666666667,900.0,-2.6750000000000003
Roxbury Crossing,3,SB,2500.6666666666665,4457.666666666667,807.3333333333334,0.7
Roxbury Crossing,4,NB,5157.666666666667,1213.6666666666667,846.0,-2.9569444444444444
Roxbury Crossing,4,SB,2410.3333333333335,5056.0,932.0,1.3402777777777777
Roxbury Crossing,5,NB,4847.0,1164.6666666666667,798.0,-1.1222222222222222
Roxbury Crossing,5,SB,2392.0,6482.666666666667,1101.6666666666667,2.1430555555555553
Roxbury Crossing,6,NB,3577.6666666666665,854.0,623.0,-1.097222222222222
Roxbury Crossing,6,SB,1709.0,4779.333333333333,909.3333333333334,4.040277777777778
Roxbury Crossing,7,NB,2493.3333333333335,554.0,441.0,1.2346153846153847
Roxbury Crossing,7,SB,1122.6666666666667,3526.0,711.0,6.338461538461538
Roxbury Crossing,8,NB,1638.0,411.6666666666667,286.3333333333333,2.8515151515151516
Roxbury Crossing,8,SB,851.0,2697.6666666666665,588.6666666666666,6.042424242424243
Roxbury Crossing,9,NB,1485.0,350.3333333333333,251.33333333333334,-2.0116666666666667
Roxbury Crossing,9,SB,784.0,2412.3333333333335,521.3333333333334,3.2600000000000002
Roxbury Crossing,10,NB,1107.3333333333333,316.3333333333333,220.0,-4.196969696969696
Roxbury Crossing,10,SB,662.6666666666666,2182.0,510.3333333333333,1.7740740740740741
Roxbury Crossing,11,NB,781.6666666666666,182.0,136.0,-4.958333333333334
Roxbury Crossing,11,SB,494.3333333333333,1760.6666666666667,441.6666666666667,1.7133333333333334
Ruggles,2,NB,12658.666666666666,3307.0,1242.6666666666667,-2.9
Ruggles,2,SB,3588.6666666666665,6748.0,711.6666666666666,1.0
Ruggles,3,NB,15433.333333333334,3176.3333333333335,1196.6666666666667,-2.8791666666666664
Ruggles,3,SB,4913.0,7731.333333333333,882.6666666666666,1.0250000000000001
Ruggles,4,NB,16245.666666666666,3226.0,1160.3333333333333,-3.173076923076923
Ruggles,4,SB,5847.0,8087.0,1033.3333333333333,1.6583333333333332
Ruggles,5,NB,15887.0,2973.0,1094.6666666666667,-1.090277777777778
Ruggles,5,SB,6074.0,8708.666666666666,1202.3333333333333,2.4805555555555556
Ruggles,6,NB,9764.0,2012.0,821.3333333333334,-1.1861111111111111
Ruggles,6,SB,4256.666666666667,6246.666666666667,999.6666666666666,4.906410256410257
Ruggles,7,NB,7114.333333333333,1366.3333333333333,600.6666666666666,1.402777777777778
Ruggles,7,SB,3247.3333333333335,4582.333333333333,790.0,6.579166666666667
Ruggles,8,NB,5388.333333333333,873.3333333333334,399.6666666666667,2.4833333333333334
Ruggles,8,SB,2781.0,3607.0,639.6666666666666,6.5
Ruggles,9,NB,3983.3333333333335,730.0,336.0,-2.2616666666666667
Ruggles,9,SB,2218.6666666666665,3377.3333333333335,576.6666666666666,3.7383333333333333
Ruggles,10,NB,2824.6666666666665,556.6666666666666,292.3333333333333,-4.3533333333333335
Ruggles,10,SB,1872.0,3179.0,569.6666666666666,2.2983333333333333
